unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID0,mase,0.641675,0.6068588,0.73264307,0.77309453,0.31955126,0.5994881,0.68197286,0.76740235,0.77656597,0.54244053,0.775392,0.72226346,2.0234146
ID1,mase,1.1903818,1.0814583,1.0878732,1.1444536,0.6374574,0.9189958,0.5971601,1.1556206,0.94131416,0.5150171,1.2235358,1.1127932,1.7774295
ID10,mase,1.5089195,1.3625535,1.2421429,1.2223897,1.3010848,1.2124496,1.2596569,1.3054161,1.2316283,1.2469801,1.4080919,1.4494059,1.8304552
ID101,mase,1.438559,1.5451667,1.7361076,0.9464948,0.8587218,1.470521,1.6020199,1.1718004,1.0707676,1.2158906,1.3542922,1.2721349,7.6812987
ID102,mase,0.5973948,0.5769083,0.76271296,0.89778835,0.65281165,0.53480285,0.55771357,0.6023581,0.63032675,0.6951361,0.5335096,0.48506117,1.6502922
ID103,mase,0.54862154,0.5199832,0.32895133,0.73532104,0.40422234,0.6277231,0.6253046,0.56731594,0.706648,0.6545839,0.70178986,0.7059749,2.0384614
ID104,mase,0.24339485,0.3937101,0.7828605,0.5259452,0.3702825,0.33889684,0.3685215,0.36567268,0.4209202,0.46708503,0.37390965,0.37483662,3.302027
ID105,mase,0.23126107,0.24197526,0.15986694,0.35632637,0.14451979,0.35567373,0.43760154,0.28580886,0.37335575,0.42930996,0.4136319,0.42906344,1.8073021
ID107,mase,1.3542914,1.2200674,1.170102,0.82419616,1.1113378,1.3465326,1.2063164,1.4074715,1.3479915,1.2462791,1.4772149,1.5036348,2.9213116
ID108,mase,0.9335587,0.85557735,0.8450549,0.92752504,0.577709,0.843794,0.80308473,0.8845434,0.7737428,0.73633426,0.87071866,0.8982164,0.79044586
ID109,mase,4.5991874,4.5778813,4.503904,4.55113,4.3660245,4.561558,4.336321,4.578036,4.528756,4.397098,4.601838,4.604784,4.5462613
ID110,mase,0.25501317,0.24570586,0.6544934,0.4104649,0.48820603,0.3970543,0.3931071,0.6569206,0.3896942,0.41297323,0.3353036,0.35105574,0.49122807
ID111,mase,0.7485704,0.69525963,0.8051293,0.8227253,0.7195745,0.62335724,0.6517796,0.5937801,0.59440804,0.8119135,0.5912024,0.57260346,1.6375946
ID112,mase,0.37058118,0.4631292,0.6103224,0.93294424,0.59725857,0.36223048,0.46217418,0.33468804,0.38950124,0.51819724,0.31261998,0.28558236,2.897561
ID113,mase,0.8660671,0.7842533,0.8176896,0.28454039,0.67953235,0.560937,0.6188174,0.70499164,0.71194917,0.69622934,0.7283579,0.8073536,0.9585925
ID114,mase,1.3556373,1.1852823,1.5838151,0.5393877,0.9161294,1.1591618,0.84042853,1.16541,0.8699774,0.9771182,1.2518096,1.2513658,2.2757685
ID115,mase,1.3029621,1.4070015,0.6419867,1.5464045,1.6538539,1.439952,1.2635038,1.5035927,1.6415892,1.5534456,1.2827615,1.3492992,1.4956268
ID116,mase,0.104178816,0.04544983,0.06664864,0.049380742,0.05006783,0.09817417,0.0435473,0.12399325,0.10877414,0.0804074,0.16602692,0.16069008,1.3096288
ID117,mase,0.26464006,0.2889262,0.28547356,0.30901375,0.3034267,0.25979707,0.29453507,0.25734663,0.27208725,0.29499537,0.27298126,0.26711708,1.3030236
ID118,mase,0.18010452,0.14358827,0.12492448,0.107674465,0.17732777,0.16081731,0.13422088,0.20045225,0.20082486,0.17547446,0.20002481,0.20941639,1.0729381
ID119,mase,0.7372875,0.6358802,0.6269095,0.86400366,0.64501935,0.6950003,0.6707984,0.7483479,0.7503877,0.7286386,0.7995812,0.80463535,1.7068273
ID12,mase,0.04255401,0.044014163,0.04920256,0.042010862,0.048284072,0.042182613,0.043823406,0.050063554,0.050384853,0.05151877,0.040872004,0.041221436,0.11320755
ID120,mase,0.31691372,0.21566546,0.0711174,0.2944988,0.15522084,0.2774838,0.2030787,0.34141156,0.26742667,0.16117357,0.3948229,0.36098135,2.8591032
ID121,mase,0.42612478,0.42609,0.42539588,0.44300532,0.46597296,0.4207231,0.44519952,0.41031465,0.42544925,0.44881427,0.41603297,0.42092925,0.43619797
ID122,mase,0.39566922,0.41569522,0.45678452,0.36306256,0.44682443,0.39785036,0.41257316,0.39765215,0.38667473,0.389843,0.35938644,0.36789852,1.1764195
ID123,mase,0.64070094,0.5537074,0.48179132,0.27350885,0.4838681,0.6064577,0.53630877,0.6577504,0.6249082,0.560113,0.7021258,0.7022007,2.0938842
ID124,mase,0.40443274,0.357611,0.37817797,0.24708538,0.3979817,0.35530856,0.31355405,0.34417194,0.33256966,0.36614478,0.3288163,0.3867066,0.602953
ID125,mase,0.5343465,0.6926444,0.4629135,0.7875967,0.3160101,0.7302955,0.6257276,0.6321195,0.39055067,0.60225374,0.6372491,0.602332,0.16764669
ID126,mase,1.5036751,1.5504605,1.8102318,1.4809916,1.5220503,1.4141295,1.5195036,1.4554789,1.510736,1.4445963,1.5286746,1.5288427,2.4829545
ID127,mase,0.44244304,0.5056708,0.4572314,0.33606604,0.36268634,0.44682133,0.48912475,0.38859463,0.37406132,0.41870052,0.38591877,0.38040343,2.4201362
ID128,mase,0.035753585,0.09812183,0.07304899,0.2612064,0.13615234,0.038164508,0.09071745,0.035960995,0.061852474,0.109184355,0.07544522,0.083928876,2.2648525
ID129,mase,0.30805352,0.17158736,0.25731772,0.17646107,0.1937561,0.3023383,0.17684028,0.36384743,0.34770042,0.26648793,0.43577284,0.44638127,3.544681
ID13,mase,1.0785494,1.1251967,1.0327562,1.152966,1.068065,1.1568484,1.1017476,1.196229,1.1790593,1.1720663,1.0901862,1.1393431,1.4522916
ID130,mase,0.19119847,0.24704169,0.2096691,0.21829769,0.2030821,0.17623734,0.24222383,0.15910093,0.2076764,0.25736898,0.20387861,0.19016618,2.8455555
ID131,mase,0.030234085,0.08467331,0.022245988,0.028821375,0.053285487,0.039794162,0.0819709,0.0066983993,0.021882128,0.04527926,0.019045053,0.014195737,1.3034129
ID132,mase,0.14361128,0.1437874,0.11208591,0.10658863,0.11524784,0.15143685,0.12635158,0.16446146,0.14686362,0.13755864,0.15570599,0.13435797,1.029176
ID133,mase,0.8197268,0.8163398,0.99774617,0.6176035,0.6442001,0.8213698,0.803572,0.7625983,0.6534536,0.6507814,0.7975558,0.7617469,1.7207462
ID134,mase,1.6692427,1.5163391,1.2903454,1.1326522,1.3002723,1.595002,1.4912415,1.7016491,1.605889,1.4678808,1.7833819,1.7480502,3.1866133
